2025-09-17 17:04:10 | Turnos: 59 | Resultado: Vitória da Onça | Profundidade: 5 | Cachorros Capturados: 5/5 | Função Onça: utilidade_onca_0 | Função Cachorro: utilidade_cachorros_3
2025-09-17 17:06:33 | Turnos: 53 | Resultado: Vitória da Onça | Profundidade: 5 | Cachorros Capturados: 5/5 | Função Onça: utilidade_onca_0 | Função Cachorro: utilidade_cachorros_3
2025-09-17 17:06:50 | Turnos: 11 | Resultado: Combatividade (Onça) | Profundidade: 5 | Cachorros Capturados: 0/5 | Função Onça: utilidade_onca_0 | Função Cachorro: utilidade_cachorros_3
2025-09-17 17:13:44 | Turnos: 63 | Resultado: Combatividade (Onça) | Profundidade: 5 | Cachorros Capturados: 2/5 | Função Onça: utilidade_onca_0 | Função Cachorro: utilidade_cachorros_3
2025-09-17 17:14:06 | Turnos: 9 | Resultado: Combatividade (Onça) | Profundidade: 5 | Cachorros Capturados: 0/5 | Função Onça: utilidade_onca_0 | Função Cachorro: utilidade_cachorros_3
2025-09-17 17:15:02 | Turnos: 21 | Resultado: Combatividade (Onça) | Profundidade: 5 | Cachorros Capturados: 0/5 | Função Onça: utilidade_onca_0 | Função Cachorro: utilidade_cachorros_3
2025-09-17 17:24:27 | Turnos: 110 | Resultado: Partida não concluída | Profundidade: 5 | Cachorros Capturados: 4/5 | Função Onça: utilidade_onca_0 | Função Cachorro: utilidade_cachorros_3
2025-09-17 17:24:33 | Turnos: 5 | Resultado: Combatividade (Onça) | Profundidade: 5 | Cachorros Capturados: 0/5 | Função Onça: utilidade_onca_0 | Função Cachorro: utilidade_cachorros_3
2025-09-17 17:30:01 | Turnos: 81 | Resultado: Vitória da Onça | Profundidade: 5 | Cachorros Capturados: 5/5 | Função Onça: utilidade_onca_0 | Função Cachorro: utilidade_cachorros_3
2025-09-17 17:38:08 | Turnos: 107 | Resultado: Vitória da Onça | Profundidade: 5 | Cachorros Capturados: 5/5 | Função Onça: utilidade_onca_0 | Função Cachorro: utilidade_cachorros_3
2025-09-17 17:41:26 | Turnos: 57 | Resultado: Vitória da Onça | Profundidade: 5 | Cachorros Capturados: 5/5 | Função Onça: utilidade_onca_0 | Função Cachorro: utilidade_cachorros_3
2025-09-17 17:42:00 | Turnos: 21 | Resultado: Combatividade (Onça) | Profundidade: 5 | Cachorros Capturados: 0/5 | Função Onça: utilidade_onca_0 | Função Cachorro: utilidade_cachorros_3
2025-09-17 17:47:28 | Turnos: 79 | Resultado: Vitória da Onça | Profundidade: 5 | Cachorros Capturados: 5/5 | Função Onça: utilidade_onca_0 | Função Cachorro: utilidade_cachorros_3
2025-09-17 17:52:02 | Turnos: 69 | Resultado: Combatividade (Onça) | Profundidade: 5 | Cachorros Capturados: 1/5 | Função Onça: utilidade_onca_0 | Função Cachorro: utilidade_cachorros_3
2025-09-17 17:57:05 | Turnos: 63 | Resultado: Vitória da Onça | Profundidade: 5 | Cachorros Capturados: 5/5 | Função Onça: utilidade_onca_0 | Função Cachorro: utilidade_cachorros_3
2025-09-17 18:01:52 | Turnos: 75 | Resultado: Vitória da Onça | Profundidade: 5 | Cachorros Capturados: 5/5 | Função Onça: utilidade_onca_0 | Função Cachorro: utilidade_cachorros_3
2025-09-17 18:05:27 | Turnos: 83 | Resultado: Combatividade (Onça) | Profundidade: 5 | Cachorros Capturados: 2/5 | Função Onça: utilidade_onca_0 | Função Cachorro: utilidade_cachorros_3
2025-09-17 18:14:21 | Turnos: 101 | Resultado: Combatividade (Onça) | Profundidade: 5 | Cachorros Capturados: 4/5 | Função Onça: utilidade_onca_0 | Função Cachorro: utilidade_cachorros_3
2025-09-17 18:19:06 | Turnos: 93 | Resultado: Vitória da Onça | Profundidade: 5 | Cachorros Capturados: 5/5 | Função Onça: utilidade_onca_0 | Função Cachorro: utilidade_cachorros_3
2025-09-17 18:24:08 | Turnos: 59 | Resultado: Vitória da Onça | Profundidade: 5 | Cachorros Capturados: 5/5 | Função Onça: utilidade_onca_0 | Função Cachorro: utilidade_cachorros_3
2025-09-17 18:30:25 | Turnos: 97 | Resultado: Vitória da Onça | Profundidade: 5 | Cachorros Capturados: 5/5 | Função Onça: utilidade_onca_0 | Função Cachorro: utilidade_cachorros_3
2025-09-17 18:40:05 | Turnos: 110 | Resultado: Partida não concluída | Profundidade: 5 | Cachorros Capturados: 4/5 | Função Onça: utilidade_onca_0 | Função Cachorro: utilidade_cachorros_3
2025-09-17 18:43:51 | Turnos: 55 | Resultado: Vitória da Onça | Profundidade: 5 | Cachorros Capturados: 5/5 | Função Onça: utilidade_onca_0 | Função Cachorro: utilidade_cachorros_3
2025-09-17 18:46:20 | Turnos: 39 | Resultado: Vitória da Onça | Profundidade: 5 | Cachorros Capturados: 5/5 | Função Onça: utilidade_onca_0 | Função Cachorro: utilidade_cachorros_3
2025-09-17 18:55:45 | Turnos: 110 | Resultado: Partida não concluída | Profundidade: 5 | Cachorros Capturados: 4/5 | Função Onça: utilidade_onca_0 | Função Cachorro: utilidade_cachorros_3
2025-09-17 19:02:25 | Turnos: 99 | Resultado: Combatividade (Onça) | Profundidade: 5 | Cachorros Capturados: 4/5 | Função Onça: utilidade_onca_0 | Função Cachorro: utilidade_cachorros_3
2025-09-17 19:13:01 | Turnos: 110 | Resultado: Partida não concluída | Profundidade: 5 | Cachorros Capturados: 4/5 | Função Onça: utilidade_onca_0 | Função Cachorro: utilidade_cachorros_3
2025-09-17 19:21:37 | Turnos: 110 | Resultado: Partida não concluída | Profundidade: 5 | Cachorros Capturados: 4/5 | Função Onça: utilidade_onca_0 | Função Cachorro: utilidade_cachorros_3
2025-09-17 19:29:09 | Turnos: 105 | Resultado: Combatividade (Onça) | Profundidade: 5 | Cachorros Capturados: 2/5 | Função Onça: utilidade_onca_0 | Função Cachorro: utilidade_cachorros_3
2025-09-17 19:34:25 | Turnos: 91 | Resultado: Vitória da Onça | Profundidade: 5 | Cachorros Capturados: 5/5 | Função Onça: utilidade_onca_0 | Função Cachorro: utilidade_cachorros_3
2025-09-17 19:42:39 | Turnos: 110 | Resultado: Partida não concluída | Profundidade: 5 | Cachorros Capturados: 4/5 | Função Onça: utilidade_onca_0 | Função Cachorro: utilidade_cachorros_3
2025-09-17 19:49:42 | Turnos: 83 | Resultado: Vitória da Onça | Profundidade: 5 | Cachorros Capturados: 5/5 | Função Onça: utilidade_onca_0 | Função Cachorro: utilidade_cachorros_3
